ID;roomID;roomNo;Description;areClosed;Area (m2);Vertex_Indices;World_Coords_XY
0;100;;;0;0,71;[0, 1, 3, 2];[(-6.586, -30.903), (-5.825, -30.903), (-5.825, -29.975), (-6.586, -29.975)]
1;100;;;0;8,43;[3, 1, 4, 5];[(-5.825, -29.975), (-5.825, -30.903), (3.271, -30.903), (3.271, -29.975)]
2;100;;;0;0,49;[5, 4, 6, 7];[(3.271, -29.975), (3.271, -30.903), (3.8, -30.903), (3.8, -29.975)]
3;100;;;0;8,39;[7, 6, 8, 9];[(3.8, -29.975), (3.8, -30.903), (12.851, -30.903), (12.851, -29.975)]
4;100;;;0;0,66;[9, 8, 10, 11];[(12.851, -29.975), (12.851, -30.903), (13.561, -30.903), (13.561, -29.975)]
5;100;;;0;7,27;[11, 10, 12, 13];[(13.561, -29.975), (13.561, -30.903), (21.403, -30.903), (21.403, -29.975)]
6;100;;;0;0,18;[13, 12, 14, 15];[(21.403, -29.975), (21.403, -30.903), (21.6, -30.903), (21.6, -29.975)]
7;100;;;0;12,57;[15, 14, 16, 17];[(21.6, -29.975), (21.6, -30.903), (35.154, -30.903), (35.154, -29.975)]
8;100;;;0;0,27;[17, 16, 18, 19];[(35.154, -29.975), (35.154, -30.903), (35.441, -30.903), (35.441, -29.975)]
9;100;;;0;6,28;[19, 18, 20, 21];[(35.441, -29.975), (35.441, -30.903), (42.21, -30.903), (42.21, -29.975)]
10;100;;;0;0,53;[21, 20, 22, 23];[(42.21, -29.975), (42.21, -30.903), (42.784, -30.903), (42.784, -29.975)]
11;100;;;0;8,21;[23, 22, 24, 25];[(42.784, -29.975), (42.784, -30.903), (51.639, -30.903), (51.639, -29.975)]
12;100;;;0;0,85;[25, 24, 26, 27];[(51.639, -29.975), (51.639, -30.903), (52.561, -30.903), (52.561, -29.975)]
13;100;;;0;7,40;[25, 27, 29, 28];[(51.639, -29.975), (52.561, -29.975), (52.561, -21.952), (51.639, -21.952)]
14;100;;;0;0,28;[28, 29, 31, 30];[(51.639, -21.952), (52.561, -21.952), (52.561, -21.65), (51.639, -21.65)]
15;100;;;0;3,15;[30, 31, 33, 32];[(51.639, -21.65), (52.561, -21.65), (52.561, -18.234), (51.639, -18.234)]
16;100;;;0;0,70;[32, 33, 35, 34];[(51.639, -18.234), (52.561, -18.234), (52.561, -17.472), (51.639, -17.472)]
