ID;roomID;roomNo;Description;areClosed;Area (m2);Vertex_Indices;World_Coords_XY
0;100;;;0;0,11;[0, 3, 2, 4];[(-12.351, 6.003), (-12.503, 6.003), (-12.503, 5.258), (-12.351, 5.258)]
1;100;;;0;3,55;[1, 0, 4, 5];[(-7.431, 6.003), (-12.351, 6.003), (-12.351, 5.258), (-7.745, 5.258)]
2;100;;;0;0,50;[1, 5, 7, 6];[(-7.431, 6.003), (-7.745, 5.258), (-6.917, 5.258), (-6.917, 6.003)]
3;100;;;0;0,82;[7, 5, 9, 8];[(-6.917, 5.258), (-7.745, 5.258), (-7.745, 4.272), (-6.917, 4.272)]
4;100;;;0;0,56;[8, 9, 11, 10];[(-6.917, 4.272), (-7.745, 4.272), (-7.745, 3.6), (-6.917, 3.6)]
5;100;;;0;0,10;[8, 10, 13, 12];[(-6.917, 4.272), (-6.917, 3.6), (-6.77, 3.6), (-6.77, 4.272)]
6;100;;;0;1,84;[10, 11, 15, 14];[(-6.917, 3.6), (-7.745, 3.6), (-7.745, 1.376), (-6.917, 1.376)]
7;100;;;0;0,57;[14, 15, 17, 16];[(-6.917, 1.376), (-7.745, 1.376), (-7.745, 0.683), (-6.917, 0.683)]
8;100;;;0;2,21;[14, 16, 19, 18];[(-6.917, 1.376), (-6.917, 0.683), (-3.727, 0.683), (-3.727, 1.376)]
9;100;;;0;0,23;[18, 19, 21, 20];[(-3.727, 1.376), (-3.727, 0.683), (-3.391, 0.683), (-3.391, 1.376)]
10;100;;;0;1,11;[20, 21, 23, 22];[(-3.391, 1.376), (-3.391, 0.683), (-1.785, 0.683), (-1.785, 1.376)]
11;100;;;0;0,23;[22, 23, 25, 24];[(-1.785, 1.376), (-1.785, 0.683), (-1.46, 0.683), (-1.46, 1.376)]
12;100;;;0;0,09;[920, 919, 27, 26];[(-1.009, 1.376), (-1.009, 0.683), (-0.88, 0.683), (-0.88, 1.376)]
13;1;;;0;1,82;[26, 27, 29, 28];[(-0.88, 1.376), (-0.88, 0.683), (1.75, 0.683), (1.75, 1.376)]
